,Absolute Magnitude,Relative Velocity km per sec,Miss Dist.(kilometers),Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Eccentricity,Inclination,Asc Node Longitude,Perihelion Distance,Perihelion Arg,Perihelion Time,Mean Anomaly,Hazardous,Avg_Diameter_KM
0,21.6,6.115834389,62753692.0,5,0.0252819,4.634,0.425549083,6.025981287,314.3739134,0.808258933,57.25746988,2458161.642,264.8375333,1,0.20584608799999998
1,21.3,18.11398503,57298148.0,3,0.186935,5.457,0.351674305,28.41299637,136.7172417,0.718199616,313.0919748,2457794.969,173.741112,0,0.2363429305
2,20.3,7.590711162,7622911.5,0,0.0430579,4.557,0.348248262,4.237961003,259.4759789,0.950790957,248.4150381,2458120.468,292.8936538,1,0.374578302
3,27.4,11.1738745,42683616.0,6,0.0055118,5.093,0.216578308,7.905894348,57.17326613,0.983901567,18.70770087,2457902.337,68.74100662,0,0.014241070000000002
4,21.6,9.840831054,61010824.0,1,0.034798,5.154,0.210447943,16.79338166,84.62930679,0.967686636,158.2635961,2457814.455,135.1421327,1,0.20584608799999998
5,19.6,10.80884396,58759768.0,1,0.272213,4.724,0.563441073,17.92775064,178.9719508,0.577799788,198.1459692,2458009.403,354.2373683,0,0.5170619945
6,19.6,10.80884159,58759532.0,1,0.272213,4.724,0.56344111,17.92774838,178.9719526,0.577799731,198.1459599,2458009.403,354.2373962,0,0.5170619945
7,19.2,24.42188399,19324928.0,0,0.0987582,4.921,0.449762796,34.69512745,112.5629844,0.680904529,288.3746511,2458242.439,186.7769323,0,0.6216452459999999
8,17.8,17.37378384,53598364.0,0,0.109354,5.386,0.23817901,22.21521029,80.21113209,0.872704682,353.4223941,2458221.636,182.2364315,0,1.184520597
9,21.5,12.89960972,22709816.0,0,0.0169065,6.623,0.551388807,2.059576978,2.613682369,0.393039646,253.7659372,2457900.77,119.8613823,1,0.21554731500000002
10,22.4,22.42136631,30075154.0,6,0.000317965,7.033,0.475819477,23.18568668,117.111224,0.426618327,220.9403708,2457996.36,5.556806413,0,0.1424106985
11,25.8,17.27461146,64479012.0,4,0.00186378,5.122,0.204840678,13.74423321,161.9335186,0.986625193,13.92021256,2457935.033,46.68495945,0,0.029753811999999998
12,25.0,12.11850995,53825524.0,6,0.0187898,6.384,0.326860712,8.333753552,20.49127087,0.62617688,128.4631299,2457939.713,66.77697674,0,0.0430073435
13,19.1,10.82992629,64425220.0,0,0.214004,4.862,0.149357963,21.26523155,122.4368332,1.125334586,297.7298537,2457976.985,15.23187455,0,0.650942484
14,18.8,39.60532791,45023444.0,0,0.102643,3.242,0.861093331,10.02263604,163.2099234,0.275415613,199.3714587,2457894.226,37.51725738,0,0.7473819705
15,25.2,25.21128858,74196656.0,6,0.0119773,6.89,0.441694355,19.76759211,243.6149509,0.467612806,41.64832248,2457925.368,96.60735473,0,0.039223163500000005
16,20.0,3.089003929,35727636.0,0,0.240288,3.788,0.37754936,5.660561156,112.164417,1.218854372,34.30691815,2457771.553,82.35082443,0,0.430073434
17,21.0,20.01924193,71520800.0,1,0.0984179,6.469,0.452792293,8.27869574,114.3798293,0.496790502,7.392326564,2457968.757,36.16756329,0,0.271357992
18,22.3,8.526320844,69003400.0,3,0.0259126,5.372,0.25973232,5.035044226,28.85202161,0.863536992,271.6146744,2457770.913,179.6031186,0,0.149122308
19,22.7,7.919524045,16047525.0,4,0.0525422,6.519,0.151415852,5.860414923,177.8573023,0.775377062,90.64125634,2458138.756,203.9869516,0,0.124034533
20,26.1,4.655478593,38220508.0,5,0.018587,6.36,0.171432883,11.94779477,229.0663218,0.77813966,227.549975,2458042.506,314.5094251,0,0.025914487
21,20.6,2.164372849,63257484.0,2,0.183818,3.753,0.407470352,4.061695563,142.2597511,1.172302908,38.66044218,2457957.835,15.11056876,0,0.3262440625
22,21.7,28.41895426,7261686.5,1,0.0128745,6.152,0.868418907,4.03507427,342.7842082,0.119309016,322.3904958,2453597.575,303.9792986,1,0.19658148749999999
23,23.9,10.55151977,2952796.75,3,0.0109543,4.767,0.398820008,3.854342069,341.2186362,0.8163539,237.1733163,2457913.298,54.31490079,0,0.071374424
24,23.9,17.56490765,64932800.0,1,0.0453154,6.298,0.397381006,11.60766472,195.3700872,0.566658212,315.2418743,2458097.467,255.1877435,0,0.071374424
25,21.3,19.22316546,15266183.0,4,0.0140066,5.149,0.249424883,35.2402425,149.1565599,0.888676013,55.21650962,2457816.155,141.0296512,1,0.2363429305
26,26.989,7.16414806,31654442.0,7,0.0071428,5.874,0.317906126,4.008314775,322.7144945,0.705535845,249.0178765,2457901.624,92.63701924,0,0.017208484
27,19.3,13.57630264,52470692.0,0,0.00132059,5.308,0.190284255,5.883903318,251.5911063,0.963205914,211.446774,2457797.751,154.0217068,1,0.5936666015
28,22.6,11.47029804,7744736.5,0,0.0341962,5.089,0.428252611,5.850410278,151.2892419,0.706072403,292.6184517,2457751.689,178.6926558,0,0.129880101
29,23.8,11.93064253,14592393.0,0,0.052677,7.48,0.386458786,20.83376792,352.9223652,0.468116261,351.1788108,2455988.219,203.6522586,0,0.07473819699999999
30,28.6,9.874143162,21946004.0,6,0.00220111,5.349,0.229959584,1.990548432,336.8735047,0.905713006,120.0623448,2457796.516,157.610209,0,0.0081948805
31,21.2,15.93870716,25865906.0,6,0.0667857,4.469,0.437398953,24.56842188,151.7319137,0.811504136,97.07781957,2458075.09,317.5623087,0,0.24748143
32,22.8,11.74041348,49843512.0,6,0.0452308,6.708,0.51390657,6.812692898,64.12627503,0.420643557,292.8831881,2457885.994,140.1980047,0,0.11845206
33,23.8,11.93061192,14592338.0,0,0.0515902,7.48,0.386445067,20.83340837,352.9209235,0.468113884,351.1779799,2456231.633,203.0327732,0,0.07473819699999999
34,23.6,3.838016764,12937927.0,0,0.0231683,5.694,0.1755281,1.499707987,143.9720934,0.894596466,2.124647144,2458019.676,343.2780838,0,0.0819488035
35,19.8,14.65060718,73819112.0,0,0.00864628,5.679,0.659670171,1.660280613,211.1661459,0.353626501,111.2704878,2458022.991,339.0708465,1,0.47156614350000003
36,21.7,7.514875357,74676320.0,0,0.072723,4.988,0.180694935,2.883848268,42.77459458,1.064042019,283.6789059,2458116.955,282.4479213,0,0.19658148749999999
37,20.1,14.38282119,62975644.0,0,0.286119,5.55,0.608529113,19.76609421,228.3483096,0.41798504,179.9055931,2458175.962,203.254479,0,0.410716941
38,19.9,16.53824927,55719572.0,0,0.00632801,5.118,0.200158668,23.76674096,157.1413506,0.979849028,9.618026017,2458225.396,196.5243824,1,0.4503421705
39,27.4,7.339140833,10631156.0,7,0.00184403,5.435,0.221635471,7.430785915,330.7831998,0.894825363,290.4836428,2457820.163,144.1965902,0,0.014241070000000002
40,23.9,10.59959371,58869008.0,5,0.110326,4.698,0.225484982,8.113962312,158.2260558,1.090769447,28.4122282,2457721.451,164.5618703,0,0.071374424
41,26.9,22.82462864,70754448.0,7,0.00602602,6.938,0.29973327,10.27694003,171.1772581,0.589366594,218.2204921,2457932.079,87.33995138,0,0.0179284445
42,21.424,20.37422233,33566916.0,6,0.0890355,4.955,0.147884621,39.4070151,356.5439055,1.053139736,218.601812,2457874.564,90.33855226,0,0.22322488950000002
43,17.3,22.96034994,12975059.0,0,0.0591071,3.12,0.776643889,9.064507174,352.6914108,0.505498665,299.7393342,2458582.733,191.4543291,0,1.4912230805
44,26.5,7.516462188,35312740.0,1,0.00576149,6.132,0.013948498,4.3209082,264.4056022,0.974877427,87.81644304,2457942.407,58.24402434,0,0.0215547315
45,18.8,21.53473449,69933392.0,1,0.264451,3.214,0.44459978,40.07490632,190.8023227,1.249969645,16.17455003,2458488.264,217.6120228,0,0.7473819705
46,28.15,13.59223294,48298924.0,4,4.42e-05,5.916,0.145894028,3.174319581,10.44411033,0.882471179,85.73153236,2458145.012,224.3796114,0,0.0100819055
47,20.8,8.187885954,57238648.0,2,0.0497576,5.797,0.296206129,7.906473496,128.8405408,0.740447036,242.2931976,2457881.086,109.0655767,1,0.2975381215
48,25.6,14.09120316,40237380.0,7,0.024568,6.797,0.198610407,15.29060134,18.6394879,0.691858139,344.8005314,2458132.945,197.2654368,0,0.0326244065
49,25.4,11.19950105,34836728.0,5,0.0053862,6.79,0.177454625,1.867798491,150.0050897,0.715068661,204.9786871,2457906.714,114.0409109,0,0.03577195
50,19.4,9.304865523,5421688.5,1,0.0215286,5.768,0.12904386,15.08972042,215.4436355,0.924256148,61.17301359,2457865.406,301.4816145,1,0.5669472025
51,21.0,26.05388051,59935336.0,1,0.175606,4.38,0.545844028,10.42495329,114.7292731,0.675399064,354.169234,2457734.923,144.3317647,0,0.271357992
52,20.9,19.26861257,65708916.0,0,0.0337336,5.148,0.523263109,23.2772054,65.77208246,0.563573927,110.1549531,2457785.993,164.4894217,1,0.2841467005
53,19.4,9.304865524,5421688.5,1,0.020437,5.768,0.129015347,15.09000476,215.4428313,0.924281133,61.1891387,2457865.417,121.7908146,1,0.5669472025
54,18.9,14.34253068,33947260.0,0,0.00433054,3.539,0.532484748,8.168524524,299.0216816,0.983660562,332.9520295,2457678.054,104.1327876,1,0.7137442405000001
55,24.0,10.84353509,46063436.0,3,0.0666464,6.379,0.247374753,7.02845027,204.1993483,0.703867931,23.65247194,2458103.637,247.6041478,0,0.068162046
56,21.494,15.67869704,29137866.0,5,0.0739088,6.696,0.383885058,10.86837596,100.3027573,0.538522793,257.1689857,2457968.782,38.25533,0,0.2161437175
